tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
154,2017-10-10 09:18:50,2017-10-10 09:21:25,2008,Little West St & 1 Pl,40.70569254,-74.01677685,304,Broadway & Battery Pl,40.70463334,-74.01361706,28916,Subscriber,1996,male,""
439,2017-10-13 15:04:13,2017-10-13 15:11:33,72,W 52 St & 11 Ave,40.76727216,-73.99392888,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,28748,Subscriber,1942,male,""
117,2013-09-25 11:15:37,2013-09-25 11:17:34,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17636,Subscriber,1933,male,""
198,2014-01-19 09:35:49,2014-01-19 09:39:07,385,E 55 St & 2 Ave,40.75797322,-73.96603308,164,E 47 St & 2 Ave,40.75323098,-73.97032517,15564,Subscriber,1952,male,""
768,2016-03-22 18:15:20,2016-03-22 18:28:08,128,MacDougal St & Prince St,40.72710258,-74.00297088,295,Pike St & E Broadway,40.71406667,-73.99293911,21703,Subscriber,1950,female,""
573,2018-04-26 08:10:55.078,2018-04-26 08:20:28.975,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,482,W 15 St & 7 Ave,40.73935542,-73.99931783,27196,Subscriber,1948,male,""
332,2014-08-08 11:35:43,2014-08-08 11:41:15,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,379,W 31 St & 7 Ave,40.749156,-73.9916,15432,Subscriber,1945,male,""
83,2016-06-29 18:03:25,2016-06-29 18:04:48,315,South St & Gouverneur Ln,40.70355377,-74.00670227,337,Old Slip & Front St,40.7037992,-74.00838676,21571,Subscriber,1947,male,""
880,2015-10-14 10:15:48,2015-10-14 10:30:28,2010,Grand St & Greene St,40.72165481,-74.00234737,405,Washington St & Gansevoort St,40.739323,-74.008119,20828,Subscriber,1952,female,""
234,2013-08-04 16:58:43,2013-08-04 17:02:37,528,2 Ave & E 31 St,40.74290902,-73.97706058,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,17198,Subscriber,1942,male,""
309,2016-09-09 07:37:31,2016-09-09 07:42:41,332,Cherry St,40.71219906,-73.97948148,307,Canal St & Rutgers St,40.71427487,-73.98990025,25862,Subscriber,1999,male,""
